_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,question1,question2__left_side,question2__right_side,question3,seeside,group,image_url,orig_question1,question1_gold,question2,question2__left_side_gold,question2__right_side_gold,orig_question3,question3_gold,seeside_gold,step1,step2,step3,tip1,tip2,tip3
799364656,10/21/2015 02:37:34,false,1777068956,,10/21/2015 02:33:55,false,neodev,0.7857,33384589,VEN,25,Caracas,200.84.61.94,4,0,0,2,"left
Right",12,https://contribua.org/bairros/oeste/catole/Rua_Joao_Francisco_Mota__64__270.jpg,Count the number of basic building/structure/surface colors on both sides of the street,,Count the number of other lights no more than 10 feet (3.04 meters) above the ground level on each side of the street,,,Count the number of accent colors used on both sides of the street,,,Basic building colors,Lights on buildings,Accent colors,"Basic color: the color used for the majority of the building’s facade|Do not distinguish between different shades of the same color|If one color is the overwhelming majority, count only that color, if both colors are significant, count the two colors separately",Other lights: outdoor lights that are not on poles|Usually attached to a building facade or lining the side of a path,"Accent color: the color used for building trims and roofs, street objects, awnings, signs, and so forth|If the building is one color, it has no accent color"
799364656,10/21/2015 05:14:36,false,1777153467,,10/21/2015 05:13:24,false,clixsense,0.7,21665495,CAN,"","",24.105.69.70,2,0,0,1,"left
Right",12,https://contribua.org/bairros/oeste/catole/Rua_Joao_Francisco_Mota__64__270.jpg,Count the number of basic building/structure/surface colors on both sides of the street,,Count the number of other lights no more than 10 feet (3.04 meters) above the ground level on each side of the street,,,Count the number of accent colors used on both sides of the street,,,Basic building colors,Lights on buildings,Accent colors,"Basic color: the color used for the majority of the building’s facade|Do not distinguish between different shades of the same color|If one color is the overwhelming majority, count only that color, if both colors are significant, count the two colors separately",Other lights: outdoor lights that are not on poles|Usually attached to a building facade or lining the side of a path,"Accent color: the color used for building trims and roofs, street objects, awnings, signs, and so forth|If the building is one color, it has no accent color"
799364656,10/21/2015 08:12:39,false,1777240714,,10/21/2015 08:10:46,false,clixsense,0.9,9509334,BIH,01,Sarajevo,77.238.213.156,2,,1,0,Right,12,https://contribua.org/bairros/oeste/catole/Rua_Joao_Francisco_Mota__64__270.jpg,Count the number of basic building/structure/surface colors on both sides of the street,,Count the number of other lights no more than 10 feet (3.04 meters) above the ground level on each side of the street,,,Count the number of accent colors used on both sides of the street,,,Basic building colors,Lights on buildings,Accent colors,"Basic color: the color used for the majority of the building’s facade|Do not distinguish between different shades of the same color|If one color is the overwhelming majority, count only that color, if both colors are significant, count the two colors separately",Other lights: outdoor lights that are not on poles|Usually attached to a building facade or lining the side of a path,"Accent color: the color used for building trims and roofs, street objects, awnings, signs, and so forth|If the building is one color, it has no accent color"
799364657,10/21/2015 12:42:51,false,1777402464,,10/21/2015 12:40:44,false,clixsense,0.9,9509334,BIH,01,Sarajevo,77.238.213.156,1,2,,0,left,12,https://contribua.org/bairros/oeste/catole/Rua_Doutor_Antonio_Telha_-_Catole__Campina_Grande__270.jpg,Count the number of basic building/structure/surface colors on both sides of the street,,Count the number of other lights no more than 10 feet (3.04 meters) above the ground level on each side of the street,,,Count the number of accent colors used on both sides of the street,,,Basic building colors,Lights on buildings,Accent colors,"Basic color: the color used for the majority of the building’s facade|Do not distinguish between different shades of the same color|If one color is the overwhelming majority, count only that color, if both colors are significant, count the two colors separately",Other lights: outdoor lights that are not on poles|Usually attached to a building facade or lining the side of a path,"Accent color: the color used for building trims and roofs, street objects, awnings, signs, and so forth|If the building is one color, it has no accent color"
799364658,10/21/2015 02:37:34,false,1777068955,,10/21/2015 02:33:55,false,neodev,0.7857,33384589,VEN,25,Caracas,200.84.61.94,4,,0,3,Right,12,https://contribua.org/bairros/oeste/catole/Rua_Honorio_de_Melo__240__270.jpg,Count the number of basic building/structure/surface colors on both sides of the street,,Count the number of other lights no more than 10 feet (3.04 meters) above the ground level on each side of the street,,,Count the number of accent colors used on both sides of the street,,,Basic building colors,Lights on buildings,Accent colors,"Basic color: the color used for the majority of the building’s facade|Do not distinguish between different shades of the same color|If one color is the overwhelming majority, count only that color, if both colors are significant, count the two colors separately",Other lights: outdoor lights that are not on poles|Usually attached to a building facade or lining the side of a path,"Accent color: the color used for building trims and roofs, street objects, awnings, signs, and so forth|If the building is one color, it has no accent color"
799364658,10/21/2015 05:14:36,false,1777153478,,10/21/2015 05:13:24,false,clixsense,0.7,21665495,CAN,"","",24.105.69.70,2,,0,1,Right,12,https://contribua.org/bairros/oeste/catole/Rua_Honorio_de_Melo__240__270.jpg,Count the number of basic building/structure/surface colors on both sides of the street,,Count the number of other lights no more than 10 feet (3.04 meters) above the ground level on each side of the street,,,Count the number of accent colors used on both sides of the street,,,Basic building colors,Lights on buildings,Accent colors,"Basic color: the color used for the majority of the building’s facade|Do not distinguish between different shades of the same color|If one color is the overwhelming majority, count only that color, if both colors are significant, count the two colors separately",Other lights: outdoor lights that are not on poles|Usually attached to a building facade or lining the side of a path,"Accent color: the color used for building trims and roofs, street objects, awnings, signs, and so forth|If the building is one color, it has no accent color"
799364658,10/21/2015 08:12:39,false,1777240716,,10/21/2015 08:10:46,false,clixsense,0.9,9509334,BIH,01,Sarajevo,77.238.213.156,3,,3,0,Right,12,https://contribua.org/bairros/oeste/catole/Rua_Honorio_de_Melo__240__270.jpg,Count the number of basic building/structure/surface colors on both sides of the street,,Count the number of other lights no more than 10 feet (3.04 meters) above the ground level on each side of the street,,,Count the number of accent colors used on both sides of the street,,,Basic building colors,Lights on buildings,Accent colors,"Basic color: the color used for the majority of the building’s facade|Do not distinguish between different shades of the same color|If one color is the overwhelming majority, count only that color, if both colors are significant, count the two colors separately",Other lights: outdoor lights that are not on poles|Usually attached to a building facade or lining the side of a path,"Accent color: the color used for building trims and roofs, street objects, awnings, signs, and so forth|If the building is one color, it has no accent color"
799364659,10/22/2015 14:54:35,false,1778540618,,10/22/2015 14:49:50,false,neodev,0.7857,33384589,VEN,25,Caracas,161.196.171.28,2,0,0,2,"left
Right",12,https://contribua.org/bairros/norte/centro/Rua_Quebra_Quilos__399__270.jpg,Count the number of basic building/structure/surface colors on both sides of the street,,Count the number of other lights no more than 10 feet (3.04 meters) above the ground level on each side of the street,,,Count the number of accent colors used on both sides of the street,,,Basic building colors,Lights on buildings,Accent colors,"Basic color: the color used for the majority of the building’s facade|Do not distinguish between different shades of the same color|If one color is the overwhelming majority, count only that color, if both colors are significant, count the two colors separately",Other lights: outdoor lights that are not on poles|Usually attached to a building facade or lining the side of a path,"Accent color: the color used for building trims and roofs, street objects, awnings, signs, and so forth|If the building is one color, it has no accent color"
799364660,10/22/2015 23:41:44,false,1778950725,,10/22/2015 23:38:03,false,elite,0.8571,33018241,IDN,04,Jakarta,202.62.16.223,1,0,0,1,"left
Right",12,https://contribua.org/bairros/oeste/liberdade/Rua_Severino_Pimentel__321__180.jpg,Count the number of basic building/structure/surface colors on both sides of the street,,Count the number of other lights no more than 10 feet (3.04 meters) above the ground level on each side of the street,,,Count the number of accent colors used on both sides of the street,,,Basic building colors,Lights on buildings,Accent colors,"Basic color: the color used for the majority of the building’s facade|Do not distinguish between different shades of the same color|If one color is the overwhelming majority, count only that color, if both colors are significant, count the two colors separately",Other lights: outdoor lights that are not on poles|Usually attached to a building facade or lining the side of a path,"Accent color: the color used for building trims and roofs, street objects, awnings, signs, and so forth|If the building is one color, it has no accent color"
799364661,10/21/2015 20:55:40,false,1777853482,,10/21/2015 20:54:38,false,clixsense,0.7,21665495,CAN,"","",24.105.69.70,3,0,0,1,"left
Right",12,https://contribua.org/bairros/oeste/liberdade/Rua_Severino_Pimentel__439__0.jpg,Count the number of basic building/structure/surface colors on both sides of the street,,Count the number of other lights no more than 10 feet (3.04 meters) above the ground level on each side of the street,,,Count the number of accent colors used on both sides of the street,,,Basic building colors,Lights on buildings,Accent colors,"Basic color: the color used for the majority of the building’s facade|Do not distinguish between different shades of the same color|If one color is the overwhelming majority, count only that color, if both colors are significant, count the two colors separately",Other lights: outdoor lights that are not on poles|Usually attached to a building facade or lining the side of a path,"Accent color: the color used for building trims and roofs, street objects, awnings, signs, and so forth|If the building is one color, it has no accent color"
799364661,10/21/2015 22:40:21,false,1777928711,,10/21/2015 22:38:24,false,prodege,0.8333,3587109,CAN,NL,Grand Falls,142.166.224.4,1,1,0,2,"left
Right",12,https://contribua.org/bairros/oeste/liberdade/Rua_Severino_Pimentel__439__0.jpg,Count the number of basic building/structure/surface colors on both sides of the street,,Count the number of other lights no more than 10 feet (3.04 meters) above the ground level on each side of the street,,,Count the number of accent colors used on both sides of the street,,,Basic building colors,Lights on buildings,Accent colors,"Basic color: the color used for the majority of the building’s facade|Do not distinguish between different shades of the same color|If one color is the overwhelming majority, count only that color, if both colors are significant, count the two colors separately",Other lights: outdoor lights that are not on poles|Usually attached to a building facade or lining the side of a path,"Accent color: the color used for building trims and roofs, street objects, awnings, signs, and so forth|If the building is one color, it has no accent color"
799364662,10/22/2015 23:49:41,false,1778955062,,10/22/2015 23:47:06,false,elite,0.8571,33018241,IDN,04,Jakarta,202.62.16.223,2,0,0,2,"left
Right",12,https://contribua.org/bairros/norte/centro/Avenida_Dom_Pedro_II__500_90.jpg,Count the number of basic building/structure/surface colors on both sides of the street,,Count the number of other lights no more than 10 feet (3.04 meters) above the ground level on each side of the street,,,Count the number of accent colors used on both sides of the street,,,Basic building colors,Lights on buildings,Accent colors,"Basic color: the color used for the majority of the building’s facade|Do not distinguish between different shades of the same color|If one color is the overwhelming majority, count only that color, if both colors are significant, count the two colors separately",Other lights: outdoor lights that are not on poles|Usually attached to a building facade or lining the side of a path,"Accent color: the color used for building trims and roofs, street objects, awnings, signs, and so forth|If the building is one color, it has no accent color"
799364663,10/22/2015 23:49:41,false,1778955061,,10/22/2015 23:47:06,false,elite,0.8571,33018241,IDN,04,Jakarta,202.62.16.223,2,0,0,2,"left
Right",12,https://contribua.org/bairros/norte/centro/Rua_Elias_Aforas__67__180.jpg,Count the number of basic building/structure/surface colors on both sides of the street,,Count the number of other lights no more than 10 feet (3.04 meters) above the ground level on each side of the street,,,Count the number of accent colors used on both sides of the street,,,Basic building colors,Lights on buildings,Accent colors,"Basic color: the color used for the majority of the building’s facade|Do not distinguish between different shades of the same color|If one color is the overwhelming majority, count only that color, if both colors are significant, count the two colors separately",Other lights: outdoor lights that are not on poles|Usually attached to a building facade or lining the side of a path,"Accent color: the color used for building trims and roofs, street objects, awnings, signs, and so forth|If the building is one color, it has no accent color"
799364664,10/21/2015 02:33:54,false,1777066806,,10/21/2015 02:23:25,false,neodev,0.7857,33384589,VEN,25,Caracas,200.84.61.94,4,0,0,4,"left
Right",12,https://contribua.org/bairros/oeste/liberdade/Rua_Riachuelo__930__0.jpg,Count the number of basic building/structure/surface colors on both sides of the street,,Count the number of other lights no more than 10 feet (3.04 meters) above the ground level on each side of the street,,,Count the number of accent colors used on both sides of the street,,,Basic building colors,Lights on buildings,Accent colors,"Basic color: the color used for the majority of the building’s facade|Do not distinguish between different shades of the same color|If one color is the overwhelming majority, count only that color, if both colors are significant, count the two colors separately",Other lights: outdoor lights that are not on poles|Usually attached to a building facade or lining the side of a path,"Accent color: the color used for building trims and roofs, street objects, awnings, signs, and so forth|If the building is one color, it has no accent color"
799364664,10/21/2015 05:13:23,false,1777152783,,10/21/2015 05:10:56,false,clixsense,0.7,21665495,CAN,"","",24.105.69.70,2,0,0,2,"left
Right",12,https://contribua.org/bairros/oeste/liberdade/Rua_Riachuelo__930__0.jpg,Count the number of basic building/structure/surface colors on both sides of the street,,Count the number of other lights no more than 10 feet (3.04 meters) above the ground level on each side of the street,,,Count the number of accent colors used on both sides of the street,,,Basic building colors,Lights on buildings,Accent colors,"Basic color: the color used for the majority of the building’s facade|Do not distinguish between different shades of the same color|If one color is the overwhelming majority, count only that color, if both colors are significant, count the two colors separately",Other lights: outdoor lights that are not on poles|Usually attached to a building facade or lining the side of a path,"Accent color: the color used for building trims and roofs, street objects, awnings, signs, and so forth|If the building is one color, it has no accent color"
799364664,10/21/2015 08:10:44,false,1777239160,,10/21/2015 08:07:44,false,clixsense,0.9,9509334,BIH,01,Sarajevo,77.238.213.156,2,3,,0,left,12,https://contribua.org/bairros/oeste/liberdade/Rua_Riachuelo__930__0.jpg,Count the number of basic building/structure/surface colors on both sides of the street,,Count the number of other lights no more than 10 feet (3.04 meters) above the ground level on each side of the street,,,Count the number of accent colors used on both sides of the street,,,Basic building colors,Lights on buildings,Accent colors,"Basic color: the color used for the majority of the building’s facade|Do not distinguish between different shades of the same color|If one color is the overwhelming majority, count only that color, if both colors are significant, count the two colors separately",Other lights: outdoor lights that are not on poles|Usually attached to a building facade or lining the side of a path,"Accent color: the color used for building trims and roofs, street objects, awnings, signs, and so forth|If the building is one color, it has no accent color"
799364665,10/20/2015 14:24:27,false,1776000079,,10/20/2015 14:21:03,false,neodev,0.7778,29674710,VEN,25,Caracas,186.167.243.48,2,0,0,1,"left
Right",12,https://contribua.org/bairros/oeste/liberdade/Rua_Riachuelo__847__0.jpg,Count the number of basic building/structure/surface colors on both sides of the street,,Count the number of other lights no more than 10 feet (3.04 meters) above the ground level on each side of the street,,,Count the number of accent colors used on both sides of the street,,,Basic building colors,Lights on buildings,Accent colors,"Basic color: the color used for the majority of the building’s facade|Do not distinguish between different shades of the same color|If one color is the overwhelming majority, count only that color, if both colors are significant, count the two colors separately",Other lights: outdoor lights that are not on poles|Usually attached to a building facade or lining the side of a path,"Accent color: the color used for building trims and roofs, street objects, awnings, signs, and so forth|If the building is one color, it has no accent color"
799364665,10/21/2015 12:40:06,false,1777398763,,10/21/2015 12:37:46,false,clixsense,0.9,9509334,BIH,01,Sarajevo,77.238.213.156,2,1,,0,left,12,https://contribua.org/bairros/oeste/liberdade/Rua_Riachuelo__847__0.jpg,Count the number of basic building/structure/surface colors on both sides of the street,,Count the number of other lights no more than 10 feet (3.04 meters) above the ground level on each side of the street,,,Count the number of accent colors used on both sides of the street,,,Basic building colors,Lights on buildings,Accent colors,"Basic color: the color used for the majority of the building’s facade|Do not distinguish between different shades of the same color|If one color is the overwhelming majority, count only that color, if both colors are significant, count the two colors separately",Other lights: outdoor lights that are not on poles|Usually attached to a building facade or lining the side of a path,"Accent color: the color used for building trims and roofs, street objects, awnings, signs, and so forth|If the building is one color, it has no accent color"
799364666,10/23/2015 14:53:11,false,1779604938,,10/23/2015 14:49:39,false,neodev,0.7778,29674710,VEN,25,Caracas,186.167.244.200,4,0,0,3,"left
Right",12,https://contribua.org/bairros/oeste/catole/Rua_Cristina_Procopio_da_Silva__62__90.jpg,Count the number of basic building/structure/surface colors on both sides of the street,,Count the number of other lights no more than 10 feet (3.04 meters) above the ground level on each side of the street,,,Count the number of accent colors used on both sides of the street,,,Basic building colors,Lights on buildings,Accent colors,"Basic color: the color used for the majority of the building’s facade|Do not distinguish between different shades of the same color|If one color is the overwhelming majority, count only that color, if both colors are significant, count the two colors separately",Other lights: outdoor lights that are not on poles|Usually attached to a building facade or lining the side of a path,"Accent color: the color used for building trims and roofs, street objects, awnings, signs, and so forth|If the building is one color, it has no accent color"
799364666,10/24/2015 15:24:36,false,1780581431,,10/24/2015 15:21:53,false,elite,0.9,30636018,IDN,04,Jakarta,202.62.17.156,2,0,0,2,"left
Right",12,https://contribua.org/bairros/oeste/catole/Rua_Cristina_Procopio_da_Silva__62__90.jpg,Count the number of basic building/structure/surface colors on both sides of the street,,Count the number of other lights no more than 10 feet (3.04 meters) above the ground level on each side of the street,,,Count the number of accent colors used on both sides of the street,,,Basic building colors,Lights on buildings,Accent colors,"Basic color: the color used for the majority of the building’s facade|Do not distinguish between different shades of the same color|If one color is the overwhelming majority, count only that color, if both colors are significant, count the two colors separately",Other lights: outdoor lights that are not on poles|Usually attached to a building facade or lining the side of a path,"Accent color: the color used for building trims and roofs, street objects, awnings, signs, and so forth|If the building is one color, it has no accent color"
799364667,10/21/2015 20:55:40,false,1777853494,,10/21/2015 20:54:38,false,clixsense,0.7,21665495,CAN,"","",24.105.69.70,2,,0,1,Right,12,https://contribua.org/bairros/norte/centro/Avenida_Presidente_Joao_Pessoa__128__90.jpg,Count the number of basic building/structure/surface colors on both sides of the street,,Count the number of other lights no more than 10 feet (3.04 meters) above the ground level on each side of the street,,,Count the number of accent colors used on both sides of the street,,,Basic building colors,Lights on buildings,Accent colors,"Basic color: the color used for the majority of the building’s facade|Do not distinguish between different shades of the same color|If one color is the overwhelming majority, count only that color, if both colors are significant, count the two colors separately",Other lights: outdoor lights that are not on poles|Usually attached to a building facade or lining the side of a path,"Accent color: the color used for building trims and roofs, street objects, awnings, signs, and so forth|If the building is one color, it has no accent color"
799364667,10/21/2015 22:40:21,false,1777928709,,10/21/2015 22:38:24,false,prodege,0.8333,3587109,CAN,NL,Grand Falls,142.166.224.4,2,,1,3,Right,12,https://contribua.org/bairros/norte/centro/Avenida_Presidente_Joao_Pessoa__128__90.jpg,Count the number of basic building/structure/surface colors on both sides of the street,,Count the number of other lights no more than 10 feet (3.04 meters) above the ground level on each side of the street,,,Count the number of accent colors used on both sides of the street,,,Basic building colors,Lights on buildings,Accent colors,"Basic color: the color used for the majority of the building’s facade|Do not distinguish between different shades of the same color|If one color is the overwhelming majority, count only that color, if both colors are significant, count the two colors separately",Other lights: outdoor lights that are not on poles|Usually attached to a building facade or lining the side of a path,"Accent color: the color used for building trims and roofs, street objects, awnings, signs, and so forth|If the building is one color, it has no accent color"
