_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,question1__left_side,question1__right_side,question2__left_side,question2__right_side,question3__left_side,question3__right_side,seeside,group,image_url,question1,question1__left_side_gold,question1__right_side_gold,question2,question2__left_side_gold,question2__right_side_gold,question3,question3__left_side_gold,question3__right_side_gold,seeside_gold,step1,step2,step3,tip1,tip2,tip3
804335891,10/22/2015 16:22:46,false,1778596265,,10/22/2015 16:17:32,false,neodev,0.8,30586572,ECU,04,Azoguez,186.5.62.25,5,5,3,3,4,4,"left
Right",3,https://contribua.org/bairros/oeste/catole/Rua_Joao_Francisco_Mota__64__270.jpg,Rate the debris condition of pavement on a 1-5 scale on each side of the street,,,Rate the pavement condition on a 1–5 scale on each side of the street,,,Rate the condition of landscape elements on a 1-5 scale on each side of the street,,,,Debris Condition,Pavement Condition,Landscape Condition,"Take note of dirt, leaves, and trash|Consider a 1 when there is a lot of dirt, leaves and trash|Consider a 5 for a clean place, without dirt, leaves or trash|Consider a 3 as a neutral evaluation, not very negative and not very positive","Take note of visible cracks, discoloration, patches, presence of weeds, etc. Rate the condition of the sidewalk and the street|Consider a 1 when sidewalk and street are full of cracks, when old sidewalk and street are discolored, with patches, when street and sidewalk have a lot weeds|Consider a 5 when there are no cracks, when sidewalk and street are new, without weeds|Consider a 3 as a neutral evaluation, not very negative and not very positive","Landscape elements: tree, bush, visible ground-cover and turf. Add to this the evaluation of buildings condition|Consider upkeep and lack of adequate landscaping|Consider a 1 when the place is poorly maintained|Consider a 5 for a place well maintained (good painting; trees and bushes cut)|Consider a 3 as a neutral evaluation, not very negative and not very positive"
804335892,10/27/2015 16:17:07,false,1783520272,,10/27/2015 16:12:42,false,neodev,0.8,34817474,BRA,23,Parobé,187.54.153.118,4,4,3,3,2,3,"left
Right",3,https://contribua.org/bairros/oeste/catole/Rua_Doutor_Antonio_Telha_-_Catole__Campina_Grande__270.jpg,Rate the debris condition of pavement on a 1-5 scale on each side of the street,,,Rate the pavement condition on a 1–5 scale on each side of the street,,,Rate the condition of landscape elements on a 1-5 scale on each side of the street,,,,Debris Condition,Pavement Condition,Landscape Condition,"Take note of dirt, leaves, and trash|Consider a 1 when there is a lot of dirt, leaves and trash|Consider a 5 for a clean place, without dirt, leaves or trash|Consider a 3 as a neutral evaluation, not very negative and not very positive","Take note of visible cracks, discoloration, patches, presence of weeds, etc. Rate the condition of the sidewalk and the street|Consider a 1 when sidewalk and street are full of cracks, when old sidewalk and street are discolored, with patches, when street and sidewalk have a lot weeds|Consider a 5 when there are no cracks, when sidewalk and street are new, without weeds|Consider a 3 as a neutral evaluation, not very negative and not very positive","Landscape elements: tree, bush, visible ground-cover and turf. Add to this the evaluation of buildings condition|Consider upkeep and lack of adequate landscaping|Consider a 1 when the place is poorly maintained|Consider a 5 for a place well maintained (good painting; trees and bushes cut)|Consider a 3 as a neutral evaluation, not very negative and not very positive"
804335893,10/21/2015 22:13:16,false,1777908511,,10/21/2015 22:08:53,false,clixsense,0.8333,33065655,MEX,09,Mexico,201.123.85.67,,3,,2,,3,Right,3,https://contribua.org/bairros/oeste/catole/Rua_Honorio_de_Melo__240__270.jpg,Rate the debris condition of pavement on a 1-5 scale on each side of the street,,,Rate the pavement condition on a 1–5 scale on each side of the street,,,Rate the condition of landscape elements on a 1-5 scale on each side of the street,,,,Debris Condition,Pavement Condition,Landscape Condition,"Take note of dirt, leaves, and trash|Consider a 1 when there is a lot of dirt, leaves and trash|Consider a 5 for a clean place, without dirt, leaves or trash|Consider a 3 as a neutral evaluation, not very negative and not very positive","Take note of visible cracks, discoloration, patches, presence of weeds, etc. Rate the condition of the sidewalk and the street|Consider a 1 when sidewalk and street are full of cracks, when old sidewalk and street are discolored, with patches, when street and sidewalk have a lot weeds|Consider a 5 when there are no cracks, when sidewalk and street are new, without weeds|Consider a 3 as a neutral evaluation, not very negative and not very positive","Landscape elements: tree, bush, visible ground-cover and turf. Add to this the evaluation of buildings condition|Consider upkeep and lack of adequate landscaping|Consider a 1 when the place is poorly maintained|Consider a 5 for a place well maintained (good painting; trees and bushes cut)|Consider a 3 as a neutral evaluation, not very negative and not very positive"
804335894,10/28/2015 18:01:25,false,1784395748,,10/28/2015 17:59:35,false,neodev,0.8,21296943,ROU,03,Mioveni,79.115.72.161,4,4,4,4,4,4,"left
Right",3,https://contribua.org/bairros/norte/centro/Rua_Quebra_Quilos__399__270.jpg,Rate the debris condition of pavement on a 1-5 scale on each side of the street,,,Rate the pavement condition on a 1–5 scale on each side of the street,,,Rate the condition of landscape elements on a 1-5 scale on each side of the street,,,,Debris Condition,Pavement Condition,Landscape Condition,"Take note of dirt, leaves, and trash|Consider a 1 when there is a lot of dirt, leaves and trash|Consider a 5 for a clean place, without dirt, leaves or trash|Consider a 3 as a neutral evaluation, not very negative and not very positive","Take note of visible cracks, discoloration, patches, presence of weeds, etc. Rate the condition of the sidewalk and the street|Consider a 1 when sidewalk and street are full of cracks, when old sidewalk and street are discolored, with patches, when street and sidewalk have a lot weeds|Consider a 5 when there are no cracks, when sidewalk and street are new, without weeds|Consider a 3 as a neutral evaluation, not very negative and not very positive","Landscape elements: tree, bush, visible ground-cover and turf. Add to this the evaluation of buildings condition|Consider upkeep and lack of adequate landscaping|Consider a 1 when the place is poorly maintained|Consider a 5 for a place well maintained (good painting; trees and bushes cut)|Consider a 3 as a neutral evaluation, not very negative and not very positive"
804335895,10/28/2015 20:13:32,false,1784486424,,10/28/2015 20:11:49,false,neodev,0.875,32515422,VEN,"","",201.209.183.249,4,4,4,4,4,4,"left
Right",3,https://contribua.org/bairros/oeste/liberdade/Rua_Severino_Pimentel__321__180.jpg,Rate the debris condition of pavement on a 1-5 scale on each side of the street,,,Rate the pavement condition on a 1–5 scale on each side of the street,,,Rate the condition of landscape elements on a 1-5 scale on each side of the street,,,,Debris Condition,Pavement Condition,Landscape Condition,"Take note of dirt, leaves, and trash|Consider a 1 when there is a lot of dirt, leaves and trash|Consider a 5 for a clean place, without dirt, leaves or trash|Consider a 3 as a neutral evaluation, not very negative and not very positive","Take note of visible cracks, discoloration, patches, presence of weeds, etc. Rate the condition of the sidewalk and the street|Consider a 1 when sidewalk and street are full of cracks, when old sidewalk and street are discolored, with patches, when street and sidewalk have a lot weeds|Consider a 5 when there are no cracks, when sidewalk and street are new, without weeds|Consider a 3 as a neutral evaluation, not very negative and not very positive","Landscape elements: tree, bush, visible ground-cover and turf. Add to this the evaluation of buildings condition|Consider upkeep and lack of adequate landscaping|Consider a 1 when the place is poorly maintained|Consider a 5 for a place well maintained (good painting; trees and bushes cut)|Consider a 3 as a neutral evaluation, not very negative and not very positive"
804335896,10/28/2015 20:08:54,false,1784482133,,10/28/2015 20:06:29,false,neodev,0.875,32515422,VEN,"","",201.209.183.249,4,3,4,3,4,3,"left
Right",3,https://contribua.org/bairros/oeste/liberdade/Rua_Severino_Pimentel__439__0.jpg,Rate the debris condition of pavement on a 1-5 scale on each side of the street,,,Rate the pavement condition on a 1–5 scale on each side of the street,,,Rate the condition of landscape elements on a 1-5 scale on each side of the street,,,,Debris Condition,Pavement Condition,Landscape Condition,"Take note of dirt, leaves, and trash|Consider a 1 when there is a lot of dirt, leaves and trash|Consider a 5 for a clean place, without dirt, leaves or trash|Consider a 3 as a neutral evaluation, not very negative and not very positive","Take note of visible cracks, discoloration, patches, presence of weeds, etc. Rate the condition of the sidewalk and the street|Consider a 1 when sidewalk and street are full of cracks, when old sidewalk and street are discolored, with patches, when street and sidewalk have a lot weeds|Consider a 5 when there are no cracks, when sidewalk and street are new, without weeds|Consider a 3 as a neutral evaluation, not very negative and not very positive","Landscape elements: tree, bush, visible ground-cover and turf. Add to this the evaluation of buildings condition|Consider upkeep and lack of adequate landscaping|Consider a 1 when the place is poorly maintained|Consider a 5 for a place well maintained (good painting; trees and bushes cut)|Consider a 3 as a neutral evaluation, not very negative and not very positive"
804335897,10/28/2015 20:06:28,false,1784480278,,10/28/2015 20:03:50,false,neodev,0.875,32515422,VEN,"","",201.209.183.249,3,3,3,3,4,3,"left
Right",3,https://contribua.org/bairros/norte/centro/Avenida_Dom_Pedro_II__500_90.jpg,Rate the debris condition of pavement on a 1-5 scale on each side of the street,,,Rate the pavement condition on a 1–5 scale on each side of the street,,,Rate the condition of landscape elements on a 1-5 scale on each side of the street,,,,Debris Condition,Pavement Condition,Landscape Condition,"Take note of dirt, leaves, and trash|Consider a 1 when there is a lot of dirt, leaves and trash|Consider a 5 for a clean place, without dirt, leaves or trash|Consider a 3 as a neutral evaluation, not very negative and not very positive","Take note of visible cracks, discoloration, patches, presence of weeds, etc. Rate the condition of the sidewalk and the street|Consider a 1 when sidewalk and street are full of cracks, when old sidewalk and street are discolored, with patches, when street and sidewalk have a lot weeds|Consider a 5 when there are no cracks, when sidewalk and street are new, without weeds|Consider a 3 as a neutral evaluation, not very negative and not very positive","Landscape elements: tree, bush, visible ground-cover and turf. Add to this the evaluation of buildings condition|Consider upkeep and lack of adequate landscaping|Consider a 1 when the place is poorly maintained|Consider a 5 for a place well maintained (good painting; trees and bushes cut)|Consider a 3 as a neutral evaluation, not very negative and not very positive"
804335898,10/28/2015 17:59:13,false,1784394213,,10/28/2015 17:56:08,false,neodev,0.8,21296943,ROU,03,Mioveni,79.115.72.161,3,3,4,4,3,3,"left
Right",3,https://contribua.org/bairros/norte/centro/Rua_Elias_Aforas__67__180.jpg,Rate the debris condition of pavement on a 1-5 scale on each side of the street,,,Rate the pavement condition on a 1–5 scale on each side of the street,,,Rate the condition of landscape elements on a 1-5 scale on each side of the street,,,,Debris Condition,Pavement Condition,Landscape Condition,"Take note of dirt, leaves, and trash|Consider a 1 when there is a lot of dirt, leaves and trash|Consider a 5 for a clean place, without dirt, leaves or trash|Consider a 3 as a neutral evaluation, not very negative and not very positive","Take note of visible cracks, discoloration, patches, presence of weeds, etc. Rate the condition of the sidewalk and the street|Consider a 1 when sidewalk and street are full of cracks, when old sidewalk and street are discolored, with patches, when street and sidewalk have a lot weeds|Consider a 5 when there are no cracks, when sidewalk and street are new, without weeds|Consider a 3 as a neutral evaluation, not very negative and not very positive","Landscape elements: tree, bush, visible ground-cover and turf. Add to this the evaluation of buildings condition|Consider upkeep and lack of adequate landscaping|Consider a 1 when the place is poorly maintained|Consider a 5 for a place well maintained (good painting; trees and bushes cut)|Consider a 3 as a neutral evaluation, not very negative and not very positive"
804335899,10/27/2015 15:10:43,false,1783491619,,10/27/2015 15:06:11,false,neodev,0.8,34004473,ESP,"","",47.61.236.215,4,4,4,4,4,4,"left
Right",3,https://contribua.org/bairros/oeste/liberdade/Rua_Riachuelo__930__0.jpg,Rate the debris condition of pavement on a 1-5 scale on each side of the street,,,Rate the pavement condition on a 1–5 scale on each side of the street,,,Rate the condition of landscape elements on a 1-5 scale on each side of the street,,,,Debris Condition,Pavement Condition,Landscape Condition,"Take note of dirt, leaves, and trash|Consider a 1 when there is a lot of dirt, leaves and trash|Consider a 5 for a clean place, without dirt, leaves or trash|Consider a 3 as a neutral evaluation, not very negative and not very positive","Take note of visible cracks, discoloration, patches, presence of weeds, etc. Rate the condition of the sidewalk and the street|Consider a 1 when sidewalk and street are full of cracks, when old sidewalk and street are discolored, with patches, when street and sidewalk have a lot weeds|Consider a 5 when there are no cracks, when sidewalk and street are new, without weeds|Consider a 3 as a neutral evaluation, not very negative and not very positive","Landscape elements: tree, bush, visible ground-cover and turf. Add to this the evaluation of buildings condition|Consider upkeep and lack of adequate landscaping|Consider a 1 when the place is poorly maintained|Consider a 5 for a place well maintained (good painting; trees and bushes cut)|Consider a 3 as a neutral evaluation, not very negative and not very positive"
804335900,10/20/2015 13:48:03,false,1775961961,,10/20/2015 13:45:27,false,clixsense,0.8333,7165158,IND,28,Kolkata,182.66.15.11,4,4,4,4,5,4,"left
Right",3,https://contribua.org/bairros/oeste/liberdade/Rua_Riachuelo__847__0.jpg,Rate the debris condition of pavement on a 1-5 scale on each side of the street,,,Rate the pavement condition on a 1–5 scale on each side of the street,,,Rate the condition of landscape elements on a 1-5 scale on each side of the street,,,,Debris Condition,Pavement Condition,Landscape Condition,"Take note of dirt, leaves, and trash|Consider a 1 when there is a lot of dirt, leaves and trash|Consider a 5 for a clean place, without dirt, leaves or trash|Consider a 3 as a neutral evaluation, not very negative and not very positive","Take note of visible cracks, discoloration, patches, presence of weeds, etc. Rate the condition of the sidewalk and the street|Consider a 1 when sidewalk and street are full of cracks, when old sidewalk and street are discolored, with patches, when street and sidewalk have a lot weeds|Consider a 5 when there are no cracks, when sidewalk and street are new, without weeds|Consider a 3 as a neutral evaluation, not very negative and not very positive","Landscape elements: tree, bush, visible ground-cover and turf. Add to this the evaluation of buildings condition|Consider upkeep and lack of adequate landscaping|Consider a 1 when the place is poorly maintained|Consider a 5 for a place well maintained (good painting; trees and bushes cut)|Consider a 3 as a neutral evaluation, not very negative and not very positive"
804335900,10/21/2015 09:21:39,false,1777303678,,10/21/2015 09:18:17,false,hiving,0.8,33128931,ITA,16,Fucecchio,79.51.16.172,4,4,4,4,4,4,"left
Right",3,https://contribua.org/bairros/oeste/liberdade/Rua_Riachuelo__847__0.jpg,Rate the debris condition of pavement on a 1-5 scale on each side of the street,,,Rate the pavement condition on a 1–5 scale on each side of the street,,,Rate the condition of landscape elements on a 1-5 scale on each side of the street,,,,Debris Condition,Pavement Condition,Landscape Condition,"Take note of dirt, leaves, and trash|Consider a 1 when there is a lot of dirt, leaves and trash|Consider a 5 for a clean place, without dirt, leaves or trash|Consider a 3 as a neutral evaluation, not very negative and not very positive","Take note of visible cracks, discoloration, patches, presence of weeds, etc. Rate the condition of the sidewalk and the street|Consider a 1 when sidewalk and street are full of cracks, when old sidewalk and street are discolored, with patches, when street and sidewalk have a lot weeds|Consider a 5 when there are no cracks, when sidewalk and street are new, without weeds|Consider a 3 as a neutral evaluation, not very negative and not very positive","Landscape elements: tree, bush, visible ground-cover and turf. Add to this the evaluation of buildings condition|Consider upkeep and lack of adequate landscaping|Consider a 1 when the place is poorly maintained|Consider a 5 for a place well maintained (good painting; trees and bushes cut)|Consider a 3 as a neutral evaluation, not very negative and not very positive"
